Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
ATP1A1	CMT2DD|HOMGSMR2	MIM:182310|HGNC:HGNC:799|Ensembl:ENSG00000163399	1	1p13.1	ATPase Na+/K+ transporting subunit alpha 1	protein-coding	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	"sodium/potassium-transporting ATPase subunit alpha-1|ATPase, Na+/K+ transporting, alpha 1 polypeptide|Na(+)/K(+) ATPase alpha-1 subunit|Na+/K+ ATPase 1|Na, K-ATPase, alpha-A catalytic polypeptide|Na,K-ATPase alpha-1 subunit|Na,K-ATPase catalytic subunit alpha-A protein|sodium pump subunit alpha-1|sodium-potassium ATPase catalytic subunit alpha-1|sodium-potassium-ATPase, alpha 1 polypeptide"	20210302
ATP1A2	FHM2|MHP2	MIM:182340|HGNC:HGNC:800|Ensembl:ENSG00000018625	1	1q23.2	ATPase Na+/K+ transporting subunit alpha 2	protein-coding	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	"sodium/potassium-transporting ATPase subunit alpha-2|ATPase Na+/K+ transporting alpha 2 polypeptide|Na(+)/K(+) ATPase alpha-2 subunit|Na+/K+ ATPase, alpha-A(+) catalytic polypeptide|Na+/K+ ATPase, alpha-B polypeptide|sodium pump subunit alpha-2|sodium-potassium ATPase catalytic subunit alpha-2|sodium/potassium-transporting ATPase alpha-2 chain"	20210302
ATP1A3	AHC2|ATP1A1|CAPOS|DYT12|RDP	MIM:182350|HGNC:HGNC:801|Ensembl:ENSG00000105409	19	19q13.2	ATPase Na+/K+ transporting subunit alpha 3	protein-coding	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	"sodium/potassium-transporting ATPase subunit alpha-3|ATPase, Na+/K+ transporting, alpha 3 polypeptide|Na(+)/K(+) ATPase alpha(III) subunit|Na(+)/K(+) ATPase alpha-3 subunit|Na+, K+ activated adenosine triphosphatase alpha subunit|Na+/K+ ATPase 3|sodium pump subunit alpha-3|sodium-potassium ATPase catalytic subunit alpha-3|sodium-potassium-ATPase, alpha 3 polypeptide|sodium/potassium-transporting ATPase alpha-3 chain"	20210302
ATP12A	ATP1AL1|H-K-ATPase|HK	MIM:182360|HGNC:HGNC:13816|Ensembl:ENSG00000075673	13	13q12.12|13q12.1-q12.3	ATPase H+/K+ transporting non-gastric alpha2 subunit	protein-coding	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	"potassium-transporting ATPase alpha chain 2|ATPase, H+/K+ transporting, nongastric, alpha polypeptide|ATPase, Na+/K+ transporting, alpha polypeptide-like 1"	20210302
ATP1A4	ATP1A1|ATP1AL2	MIM:607321|HGNC:HGNC:14073|Ensembl:ENSG00000132681	1	1q23.2	ATPase Na+/K+ transporting subunit alpha 4	protein-coding	ATP1A4	ATPase Na+/K+ transporting subunit alpha 4	"sodium/potassium-transporting ATPase subunit alpha-4|ATPase, Na+/K+ transporting, alpha 4 polypeptide|ATPase, Na+/K+ transporting, alpha polypeptide-like 2|Na(+)/K(+) ATPase alpha-4 subunit|Na+/K+ ATPase 4|Na+/K+ ATPase, alpha-D polypeptide|Na,K-ATPase subunit alpha-C|sodium pump 4|sodium pump subunit alpha-4|sodium-potassium ATPase catalytic subunit alpha-4|sodium/potassium-transporting ATPase alpha-4 chain"	20210302
ATP1B1	ATP1B	MIM:182330|HGNC:HGNC:804|Ensembl:ENSG00000143153	1	1q24.2	ATPase Na+/K+ transporting subunit beta 1	protein-coding	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	"sodium/potassium-transporting ATPase subunit beta-1|ATPase, Na+/K+ transporting, beta 1 polypeptide|Beta 1-subunit of Na(+),K(+)-ATPase|Na, K-ATPase beta-1 polypeptide|adenosinetriphosphatase|sodium pump subunit beta-1|sodium-potassium ATPase subunit beta 1 (non-catalytic)|sodium/potassium-dependent ATPase beta-1 subunit|sodium/potassium-transporting ATPase beta-1 chain"	20210302
ATP1B2	AMOG	MIM:182331|HGNC:HGNC:805|Ensembl:ENSG00000129244	17	17p13.1	ATPase Na+/K+ transporting subunit beta 2	protein-coding	ATP1B2	ATPase Na+/K+ transporting subunit beta 2	"sodium/potassium-transporting ATPase subunit beta-2|ATPase, Na+/K+ transporting, beta 2 polypeptide|Na, K-ATPase beta-2 polypeptide|adhesion molecule in glia|adhesion molecule on glia|sodium pump subunit beta-2|sodium-potassium ATPase subunit beta 2 (non-catalytic)|sodium/potassium-dependent ATPase beta-2 subunit|sodium/potassium-dependent ATPase subunit beta-2|sodium/potassium-transporting ATPase beta-2 chain"	20210302
ATP1B3	ATPB-3|CD298	MIM:601867|HGNC:HGNC:806|Ensembl:ENSG00000069849	3	3q23	ATPase Na+/K+ transporting subunit beta 3	protein-coding	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	"sodium/potassium-transporting ATPase subunit beta-3|ATPase, Na+/K+ transporting, beta 3 polypeptide|Na, K-ATPase beta-3 polypeptide|sodium pump subunit beta-3|sodium-potassium ATPase subunit beta 3 (non-catalytic)|sodium/potassium-dependent ATPase subunit beta-3|sodium/potassium-transporting ATPase beta-3 chain"	20210307
ATP1B3P1	-	HGNC:HGNC:807	2	2p16.1	ATPase Na+/K+ transporting subunit beta 3 pseudogene 1	pseudo	ATP1B3P1	ATPase Na+/K+ transporting subunit beta 3 pseudogene 1	"ATPase, Na+/K+ transporting, beta 3 polypeptide pseudogene|ATPase, Na+/K+ transporting, beta 3 pseudogene 1"	20210302
ATP1B1P1	ATP1BL1	HGNC:HGNC:809	4	4p13	ATPase Na+/K+ transporting subunit beta 1 pseudogene 1	pseudo	ATP1B1P1	ATPase Na+/K+ transporting subunit beta 1 pseudogene 1	"ATPase, Na+/K+ transporting, beta 1 polypeptide pseudogene 1|ATPase, Na+/K+ transporting, beta polypeptide-like 1"	20210302
FXYD2	ATP1G1|HOMG2	MIM:601814|HGNC:HGNC:4026|Ensembl:ENSG00000137731	11	11q23.3	FXYD domain containing ion transport regulator 2	protein-coding	FXYD2	FXYD domain containing ion transport regulator 2	"sodium/potassium-transporting ATPase subunit gamma|ATPase, Na+/K+ transporting, gamma 1 polypeptide|Na(+)/K(+) ATPase subunit gamma|sodium pump gamma chain"	20210302
ATP2A1	ATP2A|SERCA1	MIM:108730|HGNC:HGNC:811|Ensembl:ENSG00000196296	16	16p11.2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	protein-coding	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	"sarcoplasmic/endoplasmic reticulum calcium ATPase 1|ATPase, Ca++ transporting, cardiac muscle, fast twitch 1|SR Ca(2+)-ATPase 1|calcium pump 1|endoplasmic reticulum class 1/2 Ca(2+) ATPase"	20210307
ATP2A2	ATP2B|DAR|DD|SERCA2	MIM:108740|HGNC:HGNC:812|Ensembl:ENSG00000174437	12	12q24.11	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	protein-coding	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	"sarcoplasmic/endoplasmic reticulum calcium ATPase 2|ATPase Ca++ transporting cardiac muscle slow twitch 2|ATPase, Ca++ dependent, slow-twitch, cardiac muscle-2|SR Ca(2+)-ATPase 2|calcium pump 2|cardiac Ca2+ ATPase|endoplasmic reticulum class 1/2 Ca(2+) ATPase"	20210302
ATP2A3	SERCA3	MIM:601929|HGNC:HGNC:813|Ensembl:ENSG00000074370	17	17p13.2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	protein-coding	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	"sarcoplasmic/endoplasmic reticulum calcium ATPase 3|ATPase, Ca(2+)-transporting, ubiquitous|ATPase, Ca++ transporting, ubiquitous|SR Ca(2+)-ATPase 3|adenosine triphosphatase, calcium|calcium pump 3|calcium-translocating P-type ATPase|sarco/endoplasmic reticulum Ca2+ -ATPase"	20210302
ATP2B1	PMCA1|PMCA1kb	MIM:108731|HGNC:HGNC:814|Ensembl:ENSG00000070961	12	12q21.33	ATPase plasma membrane Ca2+ transporting 1	protein-coding	ATP2B1	ATPase plasma membrane Ca2+ transporting 1	"plasma membrane calcium-transporting ATPase 1|ATPase, Ca++ transporting, plasma membrane 1|plasma membrane calcium pump"	20210302
ATP2B2	PMCA2|PMCA2a|PMCA2i	MIM:108733|HGNC:HGNC:815|Ensembl:ENSG00000157087	3	3p25.3	ATPase plasma membrane Ca2+ transporting 2	protein-coding	ATP2B2	ATPase plasma membrane Ca2+ transporting 2	"plasma membrane calcium-transporting ATPase 2|ATPase, Ca++ transporting, plasma membrane 2|plasma membrane Ca(2+)-ATPase|plasma membrane Ca2+ pump 2|plasma membrane calcium ATPase|plasma membrane calcium pump"	20210302
ATP2B3	CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1	MIM:300014|HGNC:HGNC:816|Ensembl:ENSG00000067842	X	Xq28	ATPase plasma membrane Ca2+ transporting 3	protein-coding	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	"plasma membrane calcium-transporting ATPase 3|ATPase, Ca++ transporting, plasma membrane 3|cilia and flagella associated protein 39|plasma membrane calcium ATPase|plasma membrane calcium pump"	20210302
ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	MIM:108732|HGNC:HGNC:817|Ensembl:ENSG00000058668	1	1q32.1	ATPase plasma membrane Ca2+ transporting 4	protein-coding	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	"plasma membrane calcium-transporting ATPase 4|ATPase, Ca++ transporting, plasma membrane 4|matrix-remodeling-associated protein 1|sarcolemmal calcium pump"	20210302
ATP4A	ATP6A	MIM:137216|HGNC:HGNC:819|Ensembl:ENSG00000105675	19	19q13.12	ATPase H+/K+ transporting subunit alpha	protein-coding	ATP4A	ATPase H+/K+ transporting subunit alpha	"potassium-transporting ATPase alpha chain 1|ATPase H+/K+ transporting alpha subunit|ATPase, H+/K+ exchanging, alpha polypeptide|ATPase, H+/K+ transporting, alpha polypeptide|epididymis secretory sperm binding protein|gastric H+/K+ ATPase alpha subunit|gastric H,K-ATPase catalytic subunit|gastric hydrogen-potassium ATPase|proton pump"	20210302
ATP4B	ATP6B	MIM:137217|HGNC:HGNC:820|Ensembl:ENSG00000186009	13	13q34	ATPase H+/K+ transporting subunit beta	protein-coding	ATP4B	ATPase H+/K+ transporting subunit beta	"potassium-transporting ATPase subunit beta|ATPase H+/K+ transporting beta subunit|ATPase, H+/K+ exchanging, beta polypeptide|ATPase, H+/K+ transporting, beta polypeptide|gastric H(+)/K(+) ATPase subunit beta|gastric H+/K+ ATPase beta subunit|gastric hydrogen-potassium ATPase, beta|potassium-transporting ATPase beta chain|proton pump beta chain"	20210302
ATP5F1A	ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	MIM:164360|HGNC:HGNC:823|Ensembl:ENSG00000152234	18	18q21.1	ATP synthase F1 subunit alpha	protein-coding	ATP5F1A	ATP synthase F1 subunit alpha	"ATP synthase subunit alpha, mitochondrial|ATP synthase alpha chain, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle|ATP sythase (F1-ATPase) alpha subunit|epididymis secretory sperm binding protein Li 123m|mitochondrial ATP synthetase, oligomycin-resistant"	20210307
ALDH7A1	ATQ1|EPD|PDE	MIM:107323|HGNC:HGNC:877|Ensembl:ENSG00000164904	5	5q23.2	aldehyde dehydrogenase 7 family member A1	protein-coding	ALDH7A1	aldehyde dehydrogenase 7 family member A1	alpha-aminoadipic semialdehyde dehydrogenase|26g turgor protein homolog|P6c dehydrogenase|alpha-AASA dehydrogenase|antiquitin-1|betaine aldehyde dehydrogenase|delta1-piperideine-6-carboxylate dehydrogenase|epididymis secretory sperm binding protein	20210307
ATP5F1AP2	ATP5A1P2|ATP5AP2	HGNC:HGNC:828|Ensembl:ENSG00000227682	2	2q24.1	ATP synthase F1 subunit alpha pseudogene 2	pseudo	ATP5F1AP2	ATP synthase F1 subunit alpha pseudogene 2	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1 pseudogene 2|ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, pseudogene 2"	20210302
ATP5F1B	ATP5B|ATPMB|ATPSB|HEL-S-271	MIM:102910|HGNC:HGNC:830|Ensembl:ENSG00000110955	12	12q13.3	ATP synthase F1 subunit beta	protein-coding	ATP5F1B	ATP synthase F1 subunit beta	"ATP synthase subunit beta, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide|epididymis secretory protein Li 271|mitochondrial ATP synthase beta subunit|mitochondrial ATP synthetase, beta subunit"	20210307
ATP5F1BP1	ATP5BL1|ATP5BP1|ATPMBL1|ATPSBL1	HGNC:HGNC:831|Ensembl:ENSG00000231635	2	2q11.2	ATP synthase F1 subunit beta pseudogene 1	pseudo	ATP5F1BP1	ATP synthase F1 subunit beta pseudogene 1	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide pseudogene 1|ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide-like 1"	20210302
ATP5F1C	ATP5C|ATP5C1|ATP5CL1	MIM:108729|HGNC:HGNC:833|Ensembl:ENSG00000165629	10	10p14	ATP synthase F1 subunit gamma	protein-coding	ATP5F1C	ATP synthase F1 subunit gamma	"ATP synthase subunit gamma, mitochondrial|ATP synthase gamma chain, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1|F-ATPase gamma subunit|mitochondrial ATP synthase, gamma subunit 1"	20210302
ATP5F1D	ATP5D|MC5DN5	MIM:603150|HGNC:HGNC:837|Ensembl:ENSG00000099624	19	19p13.3	ATP synthase F1 subunit delta	protein-coding	ATP5F1D	ATP synthase F1 subunit delta	"ATP synthase subunit delta, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit|F-ATPase delta subunit|mitochondrial ATP synthase complex delta-subunit precusor|mitochondrial ATP synthase, delta subunit"	20210302
ATP5F1E	ATP5E|ATPE|MC5DN3	MIM:606153|HGNC:HGNC:838|Ensembl:ENSG00000124172	20	20q13.32	ATP synthase F1 subunit epsilon	protein-coding	ATP5F1E	ATP synthase F1 subunit epsilon	"ATP synthase subunit epsilon, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit|F(0)F(1)-ATPase|H(+)-transporting two-sector ATPase|mitochondrial ATP synthase epsilon chain|mitochondrial ATPase"	20210302
ATP5PB	ATP5F1|PIG47	MIM:603270|HGNC:HGNC:840|Ensembl:ENSG00000116459	1	1p13.2	ATP synthase peripheral stalk-membrane subunit b	protein-coding	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	"ATP synthase F(0) complex subunit B1, mitochondrial|ATP synthase B chain, mitochondrial|ATP synthase proton-transporting mitochondrial F(0) complex subunit B1|ATP synthase subunit b, mitochondrial|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b|ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1|ATPase subunit b|H+-ATP synthase subunit b|cell proliferation-inducing protein 47"	20210307
ATP5MC1	ATP5A|ATP5G|ATP5G1	MIM:603192|HGNC:HGNC:841|Ensembl:ENSG00000159199	17	17q21.32	ATP synthase membrane subunit c locus 1	protein-coding	ATP5MC1	ATP synthase membrane subunit c locus 1	"ATP synthase F(0) complex subunit C1, mitochondrial|ATP synthase lipid-binding protein, mitochondrial|ATP synthase proteolipid P1|ATP synthase proton-transporting mitochondrial F(0) complex subunit C1|ATP synthase subunit 9|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9)|ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 (subunit 9)|ATPase protein 9|ATPase subunit 9|ATPase subunit C|dicyclohexylcarbodiimide (DCCD)-reactive proteolipid subunit|mitochondrial ATP synthase, subunit 9|mitochondrial ATP synthase, subunit C"	20210302
ATP5MC2	ATP5A|ATP5G2	MIM:603193|HGNC:HGNC:842|Ensembl:ENSG00000135390	12	12q13.13	ATP synthase membrane subunit c locus 2	protein-coding	ATP5MC2	ATP synthase membrane subunit c locus 2	"ATP synthase F(0) complex subunit C2, mitochondrial|ATP synthase c subunit|ATP synthase lipid-binding protein, mitochondrial|ATP synthase proteolipid P2|ATP synthase proton-transporting mitochondrial F(0) complex subunit C2|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)|ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 (subunit 9)|ATPase protein 9|ATPase subunit C|dicyclohexylcarbodiimide (DCCD)-reactive proteolipid subunit"	20210302
ATP5MC3	ATP5G3|P3	MIM:602736|HGNC:HGNC:843|Ensembl:ENSG00000154518	2	2q31.1	ATP synthase membrane subunit c locus 3	protein-coding	ATP5MC3	ATP synthase membrane subunit c locus 3	"ATP synthase F(0) complex subunit C3, mitochondrial|ATP synthase lipid-binding protein, mitochondrial|ATP synthase proteolipid P3|ATP synthase proton-transporting mitochondrial F(0) complex subunit C3|ATP synthase subunit 9|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)|ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)|ATP synthase, mitochondrial, C subunit-3|ATPase protein 9|ATPase subunit C|dicyclohexylcarbodiimide (DCCD)-reactive proteolipid subunit"	20210302
ATP5MC2P1	ATP5G2P1|ATP5GP1	HGNC:HGNC:844	1	1q32.2	ATP synthase membrane subunit c locus 2 pseudogene 1	pseudo	ATP5MC2P1	ATP synthase membrane subunit c locus 2 pseudogene 1	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9) pseudogene 1|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) pseudogene 1|ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 (subunit 9) pseudogene 1|pseudogene 1 for mitochondrial ATP synthase c subunit (P2 form)"	20210302
ATP5ME	ATP5I|ATP5K	MIM:601519|HGNC:HGNC:846|Ensembl:ENSG00000169020	4	4p16.3	ATP synthase membrane subunit e	protein-coding	ATP5ME	ATP synthase membrane subunit e	"ATP synthase subunit e, mitochondrial|ATP synthase e chain, mitochondrial|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E|ATP synthase, H+ transporting, mitochondrial Fo complex subunit E|ATPase subunit e|F1F0-ATP synthase, murine e subunit"	20210302
ATP5PF	ATP5|ATP5A|ATP5J|ATPM|CF6|F6	MIM:603152|HGNC:HGNC:847|Ensembl:ENSG00000154723	21	21q21.3	ATP synthase peripheral stalk subunit F6	protein-coding	ATP5PF	ATP synthase peripheral stalk subunit F6	"ATP synthase-coupling factor 6, mitochondrial|ATP synthase subunit h|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6|ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6|ATPase subunit F6|coupling factor 6|mitochondrial ATP synthase, coupling factor 6|mitochondrial ATP synthase, subunit F6|mitochondrial ATPase coupling factor 6|proliferation-inducing protein 36"	20210302
ATP6V1A	ARCL2D|ATP6A1|ATP6V1A1|HO68|IECEE3|VA68|VPP2|Vma1	MIM:607027|HGNC:HGNC:851|Ensembl:ENSG00000114573	3	3q13.31	ATPase H+ transporting V1 subunit A	protein-coding	ATP6V1A	ATPase H+ transporting V1 subunit A	"V-type proton ATPase catalytic subunit A|ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A|ATPase, H+ transporting, lysosomal, subunit A1|H(+)-transporting two-sector ATPase, subunit A|H+-transporting ATPase chain A, vacuolar (VA68 type)|V-ATPase 69 kDa subunit 1|V-ATPase A subunit 1|V-ATPase subunit A|vacuolar proton pump alpha subunit 1|vacuolar proton pump subunit alpha"	20210302
ATP6V1B1	ATP6B1|DRTA2|RTA1B|VATB|VMA2|VPP3	MIM:192132|HGNC:HGNC:853|Ensembl:ENSG00000116039	2	2p13.3	ATPase H+ transporting V1 subunit B1	protein-coding	ATP6V1B1	ATPase H+ transporting V1 subunit B1	"V-type proton ATPase subunit B, kidney isoform|ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1|H(+)-transporting two-sector ATPase, 58kD subunit|H+-ATPase beta 1 subunit|V-ATPase B1 subunit|V-ATPase subunit B 1|endomembrane proton pump 58 kDa subunit|vacuolar proton pump 3|vacuolar proton pump subunit B 1|vacuolar proton pump, subunit 3"	20210302
ATP6V1B2	ATP6B1B2|ATP6B2|DOOD|HO57|VATB|VPP3|Vma2|ZLS2	MIM:606939|HGNC:HGNC:854|Ensembl:ENSG00000147416	8	8p21.3	ATPase H+ transporting V1 subunit B2	protein-coding	ATP6V1B2	ATPase H+ transporting V1 subunit B2	"V-type proton ATPase subunit B, brain isoform|ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2|H+ transporting two-sector ATPase|V-ATPase B2 subunit|V-ATPase subunit B 2|endomembrane proton pump 58 kDa subunit|testicular secretory protein Li 65|vacuolar H+-ATPase 56,000 subunit|vacuolar proton pump subunit B 2"	20210302
ATP6V0C	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	MIM:108745|HGNC:HGNC:855|Ensembl:ENSG00000185883	16	16p13.3	ATPase H+ transporting V0 subunit c	protein-coding	ATP6V0C	ATPase H+ transporting V0 subunit c	"V-type proton ATPase 16 kDa proteolipid subunit|ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c|H(+)-transporting two-sector ATPase, 16 kDa subunit|V-ATPase 16 kDa proteolipid subunit|vacuolar ATP synthase 16 kDa proteolipid subunit|vacuolar H+ ATPase proton channel subunit|vacuolar proton pump 16 kDa proteolipid subunit"	20210302
ATP6V1C1	ATP6C|ATP6D|VATC|Vma5	MIM:603097|HGNC:HGNC:856|Ensembl:ENSG00000155097	8	8q22.3	ATPase H+ transporting V1 subunit C1	protein-coding	ATP6V1C1	ATPase H+ transporting V1 subunit C1	"V-type proton ATPase subunit C 1|ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1|H(+)-transporting two-sector ATPase, subunit C|H+ -ATPase C subunit|H+-transporting ATPase chain C, vacuolar|V-ATPase C subunit|V-ATPase subunit C 1|subunit C of vacuolar proton-ATPase V1 domain|testicular tissue protein Li 223|vacuolar ATP synthase subunit C|vacuolar proton pump C subunit|vacuolar proton pump subunit C 1|vacuolar proton pump, 42-kD subunit|vacuolar proton-ATPase, subunit C, VI domain"	20210302
ATP6V1E1	ARCL2C|ATP6E|ATP6E2|ATP6V1E|P31|Vma4	MIM:108746|HGNC:HGNC:857|Ensembl:ENSG00000131100	22	22q11.21	ATPase H+ transporting V1 subunit E1	protein-coding	ATP6V1E1	ATPase H+ transporting V1 subunit E1	"V-type proton ATPase subunit E 1|ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1|H(+)-transporting two-sector ATPase, 31kDa subunit|H+-transporting ATP synthase chain E, vacuolar|V-ATPase 31 kDa subunit|V-ATPase subunit E 1|V-ATPase, subunit E|vacuolar proton pump subunit E 1"	20210302
ATP6V0B	ATP6F|HATPL|VMA16	MIM:603717|HGNC:HGNC:861|Ensembl:ENSG00000117410	1	1p34.1	ATPase H+ transporting V0 subunit b	protein-coding	ATP6V0B	ATPase H+ transporting V0 subunit b	"V-type proton ATPase 21 kDa proteolipid subunit|ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b|ATPase, H+ transporting, lysosomal, 21-KD, V0 subunit C-prime, prime|ATPase, H+ transporting, lysosomal, subunit F|H(+)-transporting two-sector ATPase, subunit F|V-ATPase 21 kDa proteolipid subunit|V-ATPase subunit c''|vacuolar ATP synthase 21 kDa proteolipid subunit|vacuolar proton pump 21 kDa proteolipid subunit"	20210302
ATP6V1G2	ATP6G|ATP6G2|NG38|VMA10	MIM:606853|HGNC:HGNC:862|Ensembl:ENSG00000213760	6	6p21.33	ATPase H+ transporting V1 subunit G2	protein-coding	ATP6V1G2	ATPase H+ transporting V1 subunit G2	"V-type proton ATPase subunit G 2|ATPase, H+ transporting, lysosomal (vacuolar proton pump)|ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2|H(+)-transporting two-sector ATPase, subunit G2|V-ATPase 13 kDa subunit 2|vacuolar ATP synthase subunit G 2|vacuolar proton pump G subunit 2"	20210302
ATP6V0A1	ATP6N1|ATP6N1A|Stv1|VPP1|Vph1|a1	MIM:192130|HGNC:HGNC:865|Ensembl:ENSG00000033627	17	17q21.2	ATPase H+ transporting V0 subunit a1	protein-coding	ATP6V0A1	ATPase H+ transporting V0 subunit a1	"V-type proton ATPase 116 kDa subunit a1|ATPase, H+ transporting, lysosomal V0 subunit a1|ATPase, H+ transporting, lysosomal non-catalytic accessory protein 1 (110/116kD)|H(+)-transporting two-sector ATPase, 116 kDa accessory protein A1|V-ATPase 116 kDa subunit a1|V-type proton ATPase 116 kDa subunit a|clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit|vacuolar adenosine triphosphatase subunit Ac116|vacuolar proton pump subunit 1|vacuolar proton translocating ATPase 116 kDa subunit A|vacuolar-type H(+)-ATPase 115 kDa subunit"	20210302
ATP6AP1	16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3	MIM:300197|HGNC:HGNC:868|Ensembl:ENSG00000071553	X	Xq28	ATPase H+ transporting accessory protein 1	protein-coding	ATP6AP1	ATPase H+ transporting accessory protein 1	"V-type proton ATPase subunit S1|ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1|ATPase, H+ transporting, lysosomal accessory protein 1|ATPase, H+ transporting, lysosomal interacting protein 1|H-ATPase subunit|V-ATPase Ac45 subunit|V-ATPase S1 accessory protein|V-ATPase subunit S1|epididymis secretory sperm binding protein|protein XAP-3|vacuolar proton pump subunit S1"	20210302
ATP7A	DSMAX|MK|MNK|SMAX3	MIM:300011|HGNC:HGNC:869|Ensembl:ENSG00000165240	X	Xq21.1	ATPase copper transporting alpha	protein-coding	ATP7A	ATPase copper transporting alpha	"copper-transporting ATPase 1|ATPase, Cu++ transporting, alpha polypeptide|Cu++-transporting P-type ATPase|Menkes disease-associated protein|copper pump 1"	20210302
ATP5PO	ATP5O|ATPO|HMC08D05|OSCP	MIM:600828|HGNC:HGNC:850|Ensembl:ENSG00000241837	21	21q22.11	ATP synthase peripheral stalk subunit OSCP	protein-coding	ATP5PO	ATP synthase peripheral stalk subunit OSCP	"ATP synthase subunit O, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit|human ATP synthase OSCP subunit|oligomycin sensitivity conferral protein oscp-like protein|oligomycin sensitivity conferring protein"	20210307
ATP7B	PWD|WC1|WD|WND	MIM:606882|HGNC:HGNC:870|Ensembl:ENSG00000123191	13	13q14.3	ATPase copper transporting beta	protein-coding	ATP7B	ATPase copper transporting beta	"copper-transporting ATPase 2|ATPase, Cu(2+)- transporting, beta polypeptide|ATPase, Cu++ transporting, beta polypeptide|Wilson disease-associated protein|copper pump 2|copper-transporting protein ATP7B"	20210302
ALDH7A1P1	ATQL1	HGNC:HGNC:878|Ensembl:ENSG00000251400	5	5q13.3	aldehyde dehydrogenase 7 family member A1 pseudogene 1	pseudo	ALDH7A1P1	aldehyde dehydrogenase 7 family member A1 pseudogene 1	antiquitin-like 1	20210302
